gr_bin,ri_bin,class,count
0.45,0.2,STAR,1127
1.55,1.0,GALAXY,651
1.15,0.75,GALAXY,156
1.8,0.7,GALAXY,950
0.2,0.0,QSO,766
1.5,0.6,GALAXY,652
2.15,1.15,GALAXY,151
0.85,1.25,GALAXY,23
1.85,0.9,GALAXY,606
0.7,0.15,GALAXY,47
0.3,0.35,QSO,218
0.3,0.0,QSO,590
0.35,0.15,QSO,387
1.9,0.8,GALAXY,371
1.45,0.5,GALAXY,468
0.2,0.35,QSO,290
0.6,0.25,STAR,1190
1.55,0.9,STAR,80
0.4,0.2,STAR,865
0.5,0.0,QSO,193
1.3,1.0,STAR,32
0.5,0.45,QSO,77
1.9,0.75,GALAXY,405
0.9,0.75,GALAXY,125
0.95,0.95,GALAXY,103
1.2,0.5,GALAXY,906
1.5,0.4,GALAXY,23
1.25,0.55,GALAXY,507
0.05,0.4,QSO,231
2.05,0.65,GALAXY,58
1.4,1.2,GALAXY,197
1.4,0.75,GALAXY,273
0.4,0.1,STAR,963
1.6,1.2,GALAXY,305
1.35,0.55,GALAXY,630
1.55,0.95,GALAXY,609
1.0,0.55,GALAXY,349
0.15,0.4,QSO,211
0.45,0.15,STAR,1238
1.15,0.6,GALAXY,151
0.1,-0.15,STAR,51
1.35,0.5,GALAXY,622
1.7,0.7,GALAXY,722
1.6,0.65,GALAXY,570
-0.1,-0.05,QSO,82
0.6,-0.05,QSO,54
0.0,0.0,QSO,300
0.05,-0.15,STAR,62
0.25,-0.1,STAR,72
0.7,0.5,GALAXY,224
-0.35,-0.2,STAR,26
0.45,0.25,STAR,422
-0.15,0.3,QSO,98
1.15,0.5,STAR,158
0.8,0.5,GALAXY,449
1.35,0.95,STAR,43
0.25,-0.15,STAR,57
0.6,0.25,QSO,84
0.1,-0.2,QSO,92
0.25,-0.1,QSO,310
0.1,0.1,QSO,752
0.6,0.15,QSO,115
0.65,0.1,QSO,67
-0.25,0.35,QSO,36
0.45,0.3,GALAXY,691
1.6,0.75,GALAXY,435
0.2,0.55,GALAXY,40
0.65,0.5,GALAXY,170
-0.05,0.4,QSO,163
1.5,0.5,GALAXY,376
2.0,0.8,GALAXY,144
0.45,0.4,GALAXY,200
0.2,0.15,STAR,380
0.25,0.5,GALAXY,33
0.6,0.45,QSO,79
1.95,1.0,GALAXY,340
1.9,1.2,GALAXY,239
1.2,0.85,GALAXY,213
0.65,0.05,GALAXY,39
1.25,0.7,GALAXY,113
0.15,0.1,STAR,293
0.65,0.3,GALAXY,397
-0.2,0.15,QSO,79
1.4,1.3,GALAXY,104
1.55,1.35,GALAXY,93
0.8,0.6,GALAXY,73
2.1,1.05,GALAXY,191
0.45,1.05,GALAXY,51
-0.25,-0.3,STAR,44
0.75,0.65,GALAXY,92
0.65,0.45,QSO,65
2.15,0.95,GALAXY,95
0.05,0.05,QSO,575
0.45,0.0,GALAXY,43
1.05,0.6,GALAXY,138
1.95,1.4,GALAXY,51
0.4,0.9,GALAXY,41
0.65,0.25,STAR,964
0.5,0.75,GALAXY,88
0.2,0.75,GALAXY,32
0.9,0.7,GALAXY,105
0.05,0.1,QSO,608
1.0,0.5,QSO,29
1.3,0.75,GALAXY,223
1.25,0.95,GALAXY,187
0.35,1.0,GALAXY,25
0.95,0.3,GALAXY,79
0.45,0.15,QSO,263
1.35,1.45,GALAXY,41
-0.05,0.05,STAR,63
0.2,-0.25,QSO,56
1.4,1.45,STAR,41
2.15,1.35,GALAXY,62
1.3,0.45,STAR,44
0.95,0.6,GALAXY,89
1.75,1.3,GALAXY,153
1.05,0.35,GALAXY,123
2.0,1.1,GALAXY,267
1.3,0.45,GALAXY,310
2.25,1.05,GALAXY,97
1.45,0.7,STAR,85
0.05,0.45,QSO,136
1.9,1.25,GALAXY,169
1.65,0.9,STAR,29
0.15,0.4,GALAXY,28
2.1,1.15,GALAXY,194
0.55,0.45,GALAXY,180
2.3,1.25,GALAXY,52
-0.05,0.1,QSO,319
1.25,0.35,GALAXY,27
0.25,0.35,STAR,35
1.5,0.7,STAR,58
0.5,0.5,GALAXY,77
-0.2,0.5,QSO,30
0.35,0.65,GALAXY,72
0.6,-0.05,STAR,24
0.25,0.45,QSO,134
2.8,1.05,GALAXY,23
0.65,0.35,GALAXY,1033
0.35,0.45,GALAXY,52
1.25,0.75,GALAXY,204
0.7,0.7,GALAXY,98
1.4,1.5,STAR,36
0.3,-0.15,STAR,36
2.6,1.15,GALAXY,43
1.75,0.5,GALAXY,79
2.25,1.25,GALAXY,98
0.1,0.45,QSO,120
0.5,0.3,QSO,123
0.7,0.9,GALAXY,76
2.0,1.3,GALAXY,96
1.15,0.8,GALAXY,205
1.05,0.7,GALAXY,111
1.15,1.25,STAR,21
2.7,1.05,GALAXY,27
1.5,0.8,STAR,87
0.35,-0.15,QSO,151
1.7,1.3,GALAXY,168
0.15,-0.3,QSO,34
0.2,0.6,QSO,22
1.3,1.2,GALAXY,133
1.15,1.1,GALAXY,113
0.3,0.35,STAR,36
0.65,0.5,QSO,52
1.4,0.65,STAR,115
0.7,0.05,GALAXY,27
0.8,0.45,QSO,52
0.6,0.8,GALAXY,93
0.4,0.45,QSO,79
1.6,1.15,STAR,55
2.9,1.2,GALAXY,25
