bin,class,count
0.0,GALAXY,2511
0.0,QSO,44
0.0,STAR,30984
0.025,QSO,20
0.025,GALAXY,7410
0.05,GALAXY,10395
0.05,QSO,87
0.075,GALAXY,11775
0.075,QSO,86
0.1,GALAXY,10475
0.1,QSO,113
0.125,QSO,144
0.125,GALAXY,9788
0.15,QSO,178
0.15,GALAXY,6707
0.175,QSO,196
0.175,GALAXY,5460
0.2,QSO,200
0.2,GALAXY,4123
0.225,GALAXY,4070
0.225,QSO,213
0.25,QSO,152
0.25,GALAXY,4017
0.275,GALAXY,4372
0.275,QSO,220
0.3,GALAXY,4726
0.3,QSO,151
0.325,QSO,211
0.325,GALAXY,5726
0.35,GALAXY,5722
0.35,QSO,259
0.375,GALAXY,4757
0.375,QSO,260
0.4,QSO,330
0.4,GALAXY,4779
0.425,GALAXY,6047
0.425,QSO,304
0.45,GALAXY,8864
0.45,QSO,302
0.475,GALAXY,10454
0.475,QSO,355
0.5,QSO,360
0.5,GALAXY,11808
0.525,GALAXY,10953
0.525,QSO,470
0.55,GALAXY,10788
0.55,QSO,441
0.575,QSO,446
0.575,GALAXY,9103
0.6,QSO,422
0.6,GALAXY,8071
0.625,GALAXY,6425
0.625,QSO,545
0.65,QSO,459
0.65,GALAXY,5298
0.675,GALAXY,4527
0.675,QSO,511
0.7,QSO,640
0.7,GALAXY,3887
0.725,GALAXY,3850
0.725,QSO,569
0.75,GALAXY,3465
0.75,QSO,636
0.775,GALAXY,3384
0.775,QSO,595
0.8,QSO,616
0.8,GALAXY,2935
0.825,GALAXY,2578
0.825,QSO,705
0.85,QSO,731
0.85,GALAXY,2216
0.875,QSO,617
0.875,GALAXY,1832
0.9,GALAXY,1389
0.9,QSO,649
0.925,GALAXY,1126
0.925,QSO,637
0.95,GALAXY,1028
0.95,QSO,638
0.975,QSO,628
0.975,GALAXY,803
1.0,QSO,839
1.0,GALAXY,578
1.025,QSO,948
1.025,GALAXY,379
1.05,QSO,743
1.05,GALAXY,387
1.075,GALAXY,262
1.075,QSO,719
1.1,GALAXY,236
1.1,QSO,730
1.125,QSO,860
1.125,GALAXY,161
1.15,QSO,975
1.15,GALAXY,189
1.175,GALAXY,161
1.175,QSO,798
1.2,GALAXY,97
1.2,QSO,999
1.225,GALAXY,95
1.225,QSO,1042
1.25,GALAXY,70
1.25,QSO,945
1.275,QSO,953
1.275,GALAXY,87
1.3,QSO,918
1.3,GALAXY,73
1.325,QSO,1008
1.325,GALAXY,69
1.35,GALAXY,62
1.35,QSO,858
1.375,GALAXY,39
1.375,QSO,916
1.4,QSO,954
1.4,GALAXY,55
1.425,QSO,871
1.425,GALAXY,39
1.45,QSO,1029
1.45,GALAXY,64
1.475,GALAXY,36
1.475,QSO,809
1.5,GALAXY,36
1.5,QSO,926
1.525,QSO,938
1.525,GALAXY,4
1.55,QSO,861
1.55,GALAXY,36
1.575,QSO,783
1.575,GALAXY,8
1.6,QSO,838
1.6,GALAXY,58
1.625,QSO,940
1.625,GALAXY,31
1.65,GALAXY,42
1.65,QSO,765
1.675,GALAXY,7
1.675,QSO,877
1.7,QSO,826
1.7,GALAXY,12
1.725,GALAXY,27
1.725,QSO,854
1.75,QSO,837
1.75,GALAXY,4
1.775,QSO,916
1.775,GALAXY,28
1.8,QSO,756
1.8,GALAXY,16
1.825,QSO,811
1.85,QSO,750
1.85,GALAXY,4
1.875,QSO,736
1.9,QSO,690
1.9,GALAXY,3
1.925,QSO,854
1.925,GALAXY,12
1.95,GALAXY,8
1.95,QSO,788
1.975,GALAXY,12
1.975,QSO,750
2.0,QSO,709
2.025,QSO,738
2.05,QSO,629
2.075,QSO,647
2.1,QSO,696
2.125,QSO,634
2.15,QSO,687
2.175,QSO,832
2.2,QSO,708
2.225,QSO,691
2.25,QSO,705
2.275,QSO,738
2.3,QSO,669
2.325,QSO,590
2.35,QSO,609
2.375,QSO,687
2.4,QSO,637
2.425,QSO,562
2.45,QSO,525
2.475,QSO,598
2.5,QSO,435
2.525,QSO,543
2.55,QSO,458
2.575,QSO,474
2.6,QSO,367
2.625,QSO,365
2.65,QSO,379
2.675,QSO,378
2.7,QSO,354
2.725,QSO,282
2.75,QSO,282
2.775,QSO,315
2.8,QSO,255
2.825,QSO,225
2.85,QSO,271
2.875,QSO,322
2.9,QSO,246
2.925,QSO,236
2.95,QSO,205
2.975,QSO,248
