region,objetos,redshift_medio,magnitud_media
113,33815,0.6651,20.559
74,33121,0.6312,20.107
44,30540,0.6273,20.218
64,30099,0.6535,20.09
43,28237,0.5403,20.099
3,28069,0.7405,20.688
54,23199,0.6928,20.078
73,21302,0.4695,19.433
53,18620,0.5075,19.716
84,17676,0.6385,20.063
2,16088,0.5435,20.172
63,16076,0.4555,19.317
83,12050,0.4012,19.488
13,10777,0.4125,19.811
12,10645,0.5774,20.379
103,10039,0.5902,20.371
34,7160,0.5551,19.895
33,5749,0.453,19.807
112,4778,0.6508,20.513
52,3930,0.5634,20.263
62,3776,0.4754,19.783
114,2990,0.5369,20.361
72,2968,0.4589,19.799
55,2860,0.4625,19.773
102,2625,0.2891,18.823
65,2419,0.4445,19.571
4,2169,0.5022,20.316
45,1535,0.3774,19.214
75,1470,0.4969,19.833
42,1241,0.4473,19.54
14,1188,0.1557,18.697
23,822,0.1439,18.658
22,613,0.2166,19.203
85,562,0.1525,18.151
35,411,0.043,17.443
32,338,0.0021,18.399
104,332,0.1862,18.712
93,331,0.0248,18.471
95,234,0.0129,17.217
94,202,-0.0003,18.289
82,198,0.1717,17.7
105,187,0.0457,17.936
25,145,-0.0003,18.615
115,95,-0.0002,17.475
24,87,-0.0001,16.527
