timestamp,operacion,etapa,motor,escala,filas,segundos,memoria_pico_mb,nota
2026-09-18T02:44:58,generacion_datos,0-generacion,pandas,grande,3000000,38.082,,"30 archivos CSV, 553 MB"
2026-09-18T02:45:03,ingesta_conteo,1-dask-ingesta,dask,grande,3000000,4.551,241.5,30 particiones
2026-09-18T02:45:20,limpieza_transformacion_parquet,1-dask-transformacion,dask,grande,3000000,16.473,277.2,CSV 553MB -> Parquet 414MB
2026-09-18T02:45:25,tabla_campos,1-dask-transformacion,dask,grande,856,5.043,280.2,tabla secundaria para join
2026-09-18T02:46:32,arranque_jvm,2-spark-lectura,spark,grande,0,4.926,134.1,costo fijo de levantar la JVM
2026-09-18T02:46:44,lectura_parquet,2-spark-lectura,spark,grande,3000000,11.435,134.1,entrada producida por Dask
2026-09-18T02:46:51,filtros_transformaciones,2-spark-transformacion,spark,grande,2928603,6.936,134.2,
2026-09-18T02:47:02,agregacion_por_clase,2-spark-agregacion,spark,grande,2928603,9.62,134.2,groupBy + 6 agregados
2026-09-18T02:47:13,funcion_ventana_top10,2-spark-avanzado,spark,grande,2928603,10.038,141.8,row_number + percent_rank particionado por region
2026-09-18T02:47:21,join_broadcast_campos,2-spark-avanzado,spark,grande,2928603,7.422,142.1,broadcast join catalogo x 856 campos
2026-09-18T02:47:32,spark_sql_agrupado,2-spark-avanzado,spark,grande,2928603,6.309,142.1,GROUP BY 3 claves + HAVING
2026-09-18T02:48:01,mllib_random_forest,2-spark-avanzado,spark,grande,83481,28.203,142.4,"coadicion 83481 objetos, exactitud=0.9689"
2026-09-18T02:48:21,etapa_spark_completa,2-spark-total,spark,grande,2928603,113.075,146.1,incluye arranque de la JVM
2026-09-18T02:50:54,ag_secuencial,3-algoritmo-genetico,python,grande,8,1.795,114.9,8 semillas x 220 generaciones
2026-09-18T02:50:57,ag_dask_procesos,3-algoritmo-genetico,dask,grande,8,2.307,115.4,8 semillas en paralelo con dask.delayed
2026-09-18T02:50:58,ag_dask_hilos,3-algoritmo-genetico,dask,grande,8,1.77,115.7,"planificador de hilos, limitado por el GIL"
2026-09-18T02:52:01,ag_secuencial,3-algoritmo-genetico,python,grande,8,13.141,115.4,8 semillas x 400 generaciones
2026-09-18T02:52:14,ag_dask_procesos,3-algoritmo-genetico,dask,grande,8,13.435,115.8,8 semillas en paralelo con dask.delayed
2026-09-18T02:52:27,ag_dask_hilos,3-algoritmo-genetico,dask,grande,8,12.88,116.1,"planificador de hilos, limitado por el GIL"
2026-09-18T02:52:42,ag_dask_1_workers,3-algoritmo-genetico,dask,grande,8,13.456,121.6,"1 procesos, maquina de 1 nucleo(s)"
2026-09-18T02:52:56,ag_dask_2_workers,3-algoritmo-genetico,dask,grande,8,13.995,121.6,"2 procesos, maquina de 1 nucleo(s)"
2026-09-18T02:53:10,ag_dask_4_workers,3-algoritmo-genetico,dask,grande,8,13.958,121.7,"4 procesos, maquina de 1 nucleo(s)"
2026-09-18T02:53:24,ag_dask_8_workers,3-algoritmo-genetico,dask,grande,8,13.822,121.7,"8 procesos, maquina de 1 nucleo(s)"
2026-09-18T02:54:40,preprocesamiento_medico,4-caso-medico,dask,grande,400000,2.872,324.3,CSV 29MB -> Parquet 11MB
2026-09-18T02:55:21,modelo_medico,4-caso-medico,sklearn,grande,80000,37.531,365.8,AUC=0.6874
2026-09-18T02:57:12,comp_agregacion_simple,5-comparacion,dask,grande,1464147,13.877,306.3,tamano 50%
2026-09-18T02:57:12,comp_agregacion_simple,5-comparacion,spark,grande,1465359,1.32,306.3,tamano 50%
2026-09-18T02:58:07,comp_agregacion_compuesta,5-comparacion,dask,grande,1464147,25.884,291.2,tamano 50%
2026-09-18T02:58:07,comp_agregacion_compuesta,5-comparacion,spark,grande,1465359,1.243,291.2,tamano 50%
2026-09-18T02:58:26,comp_join_agregacion,5-comparacion,dask,grande,1464147,17.122,319.6,tamano 50%
2026-09-18T02:58:26,comp_join_agregacion,5-comparacion,spark,grande,1465359,1.672,319.6,tamano 50%
2026-09-18T03:17:44,arranque_motor,5-comparacion,spark,grande,0,15.027,174.0,costo fijo de la JVM
2026-09-18T03:17:44,arranque_motor,5-comparacion,dask,grande,0,0.443,174.0,sin JVM
2026-09-18T03:19:00,comp_A,5-comparacion,dask,grande,1465359,2.452,349.7,tamano 50%
2026-09-18T03:19:00,comp_A,5-comparacion,spark,grande,1465359,1.18,349.7,tamano 50%
2026-09-18T03:19:17,comp_B,5-comparacion,dask,grande,1465359,4.421,355.8,tamano 50%
2026-09-18T03:19:17,comp_B,5-comparacion,spark,grande,1465359,0.988,355.8,tamano 50%
2026-09-18T03:19:26,comp_C,5-comparacion,dask,grande,1465359,3.394,357.6,tamano 50%
